image_name,type,n_nuclei,mean_target_per_nucleus,mean_centromere_per_nucleus,mean_target_entropy
Colo320_DM_0005,ecDNA,13,22.077,2.538,3.858
Colo320_HSR_0004,HSR,13,7.692,3.0,2.653
